a,51¢,82302,
a,$18.00,17496,
a,$40.93,40200,
a,$3.10,"24231,24234,24273",
a,83¢,82351,
a,$3.16,"90741,90743,90745,90747,90749",
a,$1.85,"33346,33353,33354",
a,$2.57,54530,
a,85¢,"29801,29822,29894",
a,$7.20,30300,
a,$1.01,40588,
a,$1.23,40591,
a,$2.29p,01997,new
a,$4.10,17842,
a,95¢,"12550,12552,12566",
a,$4.75,"34258,34262,34264,34268,34270",
a,$1.18,37415,
a,$2.88,16624,
a,$1.10,"62901,62902,62903",
a,$1.85,"17481,17690,17691,17693",
a,$1.25,29576,
a,$2.73,64905,
a,$8.40,"14932,14934",
a,$2.45,14832,
a,$1.75,"29066,29068,29082,29084",
a,$4.35,02098,
a,$1.85,68121,
a,$1.39,"83970,83975",
a,$3.99,89946,
a,$12.66,24204,
a,$1.46,"01904,01924,01928",
a,$5.79,17697,
a,$2.69,66169,
a,83¢,53377,
a,$3.63,"37618,37635",
a,$2.56p,24077,new
a,$5.00,"12150,12152,12154,12156,12158",
a,$2.56p,24073,new
a,$3.28,01957,
a,$1.86,01953,
a,$1.40,01952,
a,$2.65,"53363,53365",
a,$4.79,"53472,53473,53476",
a,36¢,01972,
a,$16.99,"16930,16931,16932,16933",
a,$2.66,"16975,16976,16977,16978",
a,$1.49,"02409,02415",
a,$7.99,40503,
a,$2.89p,67687,new
a,$5.79p,67688,new
a,$3.39p,"67689,67691",new
a,$4.89p,"67690,67692",new
a,$3.15p,"67693,67695",new
a,$3.49p,67694,new
a,$3.59,"14100,14105,14108,14110,14118",
a,$3.19,80143,
a,$11.49,"02006,02011,02016,02021,02063",
a,$7.01,12483,
a,$4.77,"12427,12428,12425",
a,75¢,12414,
a,$1.64,33301,
a,$7.15,"94250,94273",
a,$19.20,06161,new
a,$18.00,06101,
a,$26.99,"50090,50091",
a,$2.85,37404,
a,$4.34,"75643,75644",
a,$6.94,"75670,75671,75672,75673",
a,$5.75,"23017,23018,23019,23021,23022,23023,23024,23025,23026,23028,23029,23030,23031,23040,23041",
a,$1.57,13939,
a,$7.79,44257,
a,$8.99,50300,
a,$2.38,"61100,61101,61102,61103,61104,61105,61106,61107,61108,61109,61110,61111",
a,$48.36,45890,
a,$3.91,45100,
a,$1.95,50201,
a,$3.35,72555,
a,$7.98,68500,
a,$13.98,68504,
a,$9.59,"69935,69936",
a,$5.32,"69800,69801,69802,69803,69804,69805,69806,69807,69808,69809,69810,69811",
a,$3.74,69850,
a,64¢,"28406,28414",
a,$8.97,"44313,44314,44315",
a,$9.09,"45701,45702",
a,$5.39,"82401,82404,82440,82460,82461",
a,$6.57,"12290,12291,12292,12295",
a,$121.18,84100,
a,$150.00,43120,bonus_buy
a,$3.99,43116,
a,$1.99,88552,
a,$5.15,"10602,10726",
a,$4.20,"89808,89810",
a,$3.25,"10625,10623,10654,10809",
a,$2.35,"10605,10803",
a,$1.85,"73205,73326,73327,73334",
a,$21.55,10162,
a,$13.80,"34101,34115,34116,34126,34127,34129,34139,34183,34189",
a,$6.99,27076,
a,$5.40,"19502,19501",multi_price
b,$98.89p,24301,
b,$3.99,"37790,37792",new
b,$38.00,"01772,01773,01774",multi_price
b,$2.35,"29861,29867",multi_price
b,$4.45,"65830,65840,65842,65844,65834,65836,65838,65832",multi_price
b,$3.75,"68742,68744,68746,68748",bonus_buy
d,$2.79,66140,
d,81¢,"01900,01903,01906",
d,$3.09,17801,
d,$3.95,18200,
d,$1.49,"64918,64921",
d,$7.47,"67714,67735,67781",bonus_buy
d,$2.59,"53392,53393",bonus_buy
d,$2.84,"16620,16621",
d,$1.99,24385,
d,$105.00,84623,
d,$110.30,80079,bonus_buy
d,$0.00,54517,
d,$5.16,"21398,21399",
d,$9.10,"87500,88145,87506,87512,87520,87532,87502,87514,87528,88146,87508,87504,88293,87510,87524,87522,87526,87518,87530,87516",multi_price
d,63¢,"68113,68115,68117",multi_price
d,$2.65,"90272,90274,90276,90278,90296,90270,90284,90285,90287,90292,90282,90294",multi_price
d,$4.35,"10856,10857",multi_price
d,$21.96,"17345,17346,17347,17350,17351,17352",multi_price
d,$2.79,"88651,88650,88671,88674,88716,88715",multi_price
d,$1.71,"75330,75331,75332,75333,75350,75351,75352,75353",multi_price
