alpha,price,product_ids,bonus
a,51¢,82302,
a,$18.00,17496,
a,$40.93,40200,
a,$3.10,"24231,24234,24273",
a,83¢,82351,
a,$1.79,01953,
a,$1.85,"33346,33353,33354",
a,$2.57,54533,bonus_size
a,90¢,"29801,29822,29894",
a,$5.40,19502,
a,$7.20,30300,
a,99¢,40588,
a,$1.24,40591,
a,$2.99,"53364,53307",bonus_size
a,$4.15,17842,
a,95¢,"12550,12552,12566",
a,$6.93,19501,
a,$1.28,37415,
a,$2.77,16624,bonus_size
a,$1.10,"62901,62902,62903",
a,$1.85,"17481,17690,17691,17693",
a,$4.87,"02102,02112",
a,$2.72,64905,
a,$8.40,"14932,14934",
a,$2.45,14832,
a,$1.75,"29066,29068,29084",
a,$4.60,02098,
a,$1.85,68121,
a,$1.19,"83970,83975",
a,$3.99,89946,
a,$12.66,24204,
a,$1.46,"01904,01924,01928",
a,$5.79,17697,
a,$2.61,66169,
a,83¢,53377,
a,$3.80,"37618,37635",
a,$2.85p,"93410,93412,93414,93416",
a,$5.00,"12150,12152,12154,12156,12158",
a,$2.29p,"64960,64964",
a,$3.19p,"40563,40673",
a,$2.19p,"40675,40676",
a,$3.07,"02310,02338,02344",
a,$2.75,"87431,87432,87433,87434,87439",new
a,$4.26,"84624,84625,84626,84630,84633",
a,$3.37,84634,
a,$2.27,24042,
a,$4.73,45923,bonus_size
a,$1.09,29576,
a,$1.49,"02409,02415",
a,$6.59,16617,
a,74¢,87436,bonus_buy
a,$1.45,87437,bonus_buy
a,$1.93,87438,bonus_buy
a,$0.00,43116,bonus_buy
a,$0.00,43116,
a,$0.00,88535,bonus_buy
a,$195.70,01750,
a,$4.25,"10755,10783",
a,$3.60p,"10782,10757",
a,$4.49,"10610,10677,10679",
a,$6.35,10645,
a,$2.10,73330,
a,$32.50,10102,
a,$3.75,"75014,75025,75033,75046",
a,$2.10,"90760,90761,90762,90763",
a,$9.55,"72145,72146,72147",
a,$2.90,"83403,83407,83417,83421,83426,83441,83446,83473",
a,$12.00,02012,
a,$4.89,34308,
a,$5.00,72158,
a,$4.38,"34818,38419,38420",
a,$5.05,"38402,38403,38414",
a,$2.52,"12568,12569",
a,$6.73,"33393,33394,33395,33396",
a,$14.99,"50124,50125,50127,50129,50130",
a,$3.81,"35500,35501,35502,35504,35505,35506,35507",
a,$6.94,"75602,75604,75605,75611,75620,75630,75632,75640,75641",
a,$3.31,"21701,21702,21703",
a,$20.20,"13576,13579,13580,13582",
a,$2.02,"13934,13935,13928",
a,$1.80,"13900,13901,13902,13903,13905,13915,13923,13924,13925,13927",
a,$54.68,10916,
a,$60.00,"10917,10920",
a,$90.00,10924,
a,$15.00,"09806,09807,09808",
a,$23.50,"09801,09802,09803,09805",
a,$8.99,"40400,40401,40402,40403,40404,40405,40406,40407,40408",
a,$13.17,"44317,44318,44319",
a,$1.96,"61100,61101,61102,61103,61104,61105,61106,61107,61109,61110",
a,$3.58,68590,
a,$5.32,"69800,69801,69802,69803,69804,69805,69806,69807,69808,69808,69809,69810,69811",
a,$8.99,"62000,62001,62004,62005",
a,$5.99,82406,
a,$90.88,84100,
a,$1.82,"90324,90328,90329",
a,$4.13,90375,
a,$5.16,"21398,21399",
a,$4.16,44501,
a,$3.70,"29872,29861,29930",multi_price
a,$18.00,"06101,06161",multi_price
b,$6.59,"52130,52132,52134,52136,52138",new
b,$2.99,"29916,29932,29934,29976,29997",
b,$3.50,"37770,37772,37774,37780,37782,37784",multi_price
b,$132.94,10869,new
b,$1.79,"68040,68042,68044,68046,68048",new
b,$10.40,54521,
d,$2.79,66140,
d,$2.13,"02101,02163",
d,81¢,"01900,01903,01906",
d,$3.00,17801,
d,$3.95,18200,
d,$1.49,"64918,64921",
d,$3.60,14203,
d,$2.59,"53392,53393",bonus_buy
d,$2.84,"16620,16621",bonus_buy
d,$1.86,67715,bonus_buy
d,$2.95,17322,
d,$2.35,"34121,34123,34125",bonus_size
d,$5.99,"27084,27086,27088",
d,$2.55,"89804,89806,89815,89823,89855,89857,89874,89876",
d,$5.00,"67923,67929",bonus_buy
d,$4.94,"88659,88715,88718,88716,88687,88688,88691",
d,$0,69970,new
d,$1.71,"75330,75331,75332,75333,75350,75351,75352,75353",multi_price
d,63¢,"68113,68115,68117",multi_price
d,77¢,"88470,88530,88459,88553,88510,88522,88487,88564,88566",multi_price
